SecurityID,TradingTime,TradePx,TradeAmount,TradeValue,OrderNo,OfferNo,TradeNo,ChannelCode,SBMark,SerialNo,SendingTime
600519,20230320092500800,1751.0,85,148835.0,213857,157248,14822,6,N,107523,20230320092501
600519,20230320092500800,1751.0,15,26265.0,213857,157679,14823,6,N,107524,20230320092501
600519,20230320092500800,1751.0,85,148835.0,214397,157679,14824,6,N,107525,20230320092501
600519,20230320092500800,1751.0,15,26265.0,214397,159066,14825,6,N,107526,20230320092501
600519,20230320092500800,1751.0,385,674135.0,216393,159066,14826,6,N,107527,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,160561,14827,6,N,107528,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,161592,14828,6,N,107529,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,164500,14829,6,N,107530,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,164609,14830,6,N,107531,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,177466,14831,6,N,107532,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,212286,14832,6,N,107533,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,191420,14833,6,N,107534,20230320092501
600519,20230320092500800,1751.0,100,175100.0,216393,192006,14834,6,N,107535,20230320092501
600519,20230320092500800,1751.0,15,26265.0,216393,192809,14835,6,N,107536,20230320092501
600519,20230320092500800,1751.0,85,148835.0,216676,192809,14836,6,N,107537,20230320092501
600519,20230320092500800,1751.0,15,26265.0,216676,199474,14837,6,N,107538,20230320092501
600519,20230320092500800,1751.0,85,148835.0,219672,199474,14838,6,N,107539,20230320092501
600519,20230320092500800,1751.0,100,175100.0,219672,202582,14839,6,N,107540,20230320092501
600519,20230320092500800,1751.0,100,175100.0,219672,204022,14840,6,N,107541,20230320092501
600519,20230320092500800,1751.0,315,551565.0,219672,216179,14841,6,N,107542,20230320092501
600519,20230320092500800,1751.0,100,175100.0,171207,216179,14842,6,N,107543,20230320092501
600519,20230320092500800,1751.0,100,175100.0,170837,216179,14843,6,N,107544,20230320092501
600519,20230320092500800,1751.0,485,849235.0,173269,216179,14844,6,N,107545,20230320092501
600519,20230320092500800,1751.0,200,350200.0,173269,207257,14845,6,N,107546,20230320092501
600519,20230320092500800,1751.0,100,175100.0,173269,215765,14846,6,N,107547,20230320092501
600519,20230320092500800,1751.0,100,175100.0,173269,182124,14847,6,N,107548,20230320092501
600519,20230320092500800,1751.0,100,175100.0,173269,185837,14848,6,N,107549,20230320092501
600519,20230320092500800,1751.0,15,26265.0,173269,84294,14849,6,N,107550,20230320092501
600519,20230320092500800,1751.0,85,148835.0,182289,84294,14850,6,N,107551,20230320092501
600519,20230320092500800,1751.0,15,26265.0,182289,217029,14851,6,N,107552,20230320092501
600519,20230320092500800,1751.0,185,323935.0,201904,217029,14852,6,N,107553,20230320092501
600519,20230320092500800,1751.0,100,175100.0,201904,191985,14853,6,N,107554,20230320092501
600519,20230320092500800,1751.0,200,350200.0,201904,184345,14854,6,N,107555,20230320092501
600519,20230320092500800,1751.0,200,350200.0,201904,191250,14855,6,N,107556,20230320092501
600519,20230320092500800,1751.0,100,175100.0,201904,152503,14856,6,N,107557,20230320092501
600519,20230320092500800,1751.0,200,350200.0,201904,219241,14857,6,N,107558,20230320092501
600519,20230320092500800,1751.0,100,175100.0,201904,205871,14858,6,N,107559,20230320092501
600519,20230320092500800,1751.0,400,700400.0,201904,170239,14859,6,N,107560,20230320092501
600519,20230320092500800,1751.0,100,175100.0,201904,183760,14860,6,N,107561,20230320092501
600519,20230320092500800,1751.0,1900,3326900.0,201904,186338,14861,6,N,107562,20230320092501
600519,20230320092500800,1751.0,915,1602165.0,201904,199148,14862,6,N,107563,20230320092501
600519,20230320092500800,1751.0,585,1024335.0,177929,199148,14863,6,N,107564,20230320092501
600519,20230320092500800,1751.0,100,175100.0,177929,207773,14864,6,N,107565,20230320092501
600519,20230320092500800,1751.0,100,175100.0,177929,215110,14865,6,N,107566,20230320092501
600519,20230320092500800,1751.0,100,175100.0,177929,103936,14866,6,N,107567,20230320092501
600519,20230320092500800,1751.0,300,525300.0,177929,154629,14867,6,N,107568,20230320092501
600519,20230320092500800,1751.0,100,175100.0,177929,157184,14868,6,N,107569,20230320092501
600519,20230320092500800,1751.0,100,175100.0,177929,157615,14869,6,N,107570,20230320092501
600519,20230320092500800,1751.0,2415,4228665.0,177929,174200,14870,6,N,107571,20230320092501
600519,20230320092500800,1751.0,100,175100.0,180087,174200,14871,6,N,107572,20230320092501
600519,20230320092500800,1751.0,100,175100.0,210098,174200,14872,6,N,107573,20230320092501
600519,20230320092500800,1751.0,100,175100.0,215999,174200,14873,6,N,107574,20230320092501
600519,20230320092500800,1751.0,2285,4001035.0,219691,174200,14874,6,N,107575,20230320092501
600519,20230320092500800,1751.0,100,175100.0,219691,178018,14875,6,N,107576,20230320092501
600519,20230320092500800,1751.0,100,175100.0,219691,180573,14876,6,N,107577,20230320092501
600519,20230320092500800,1751.0,215,376465.0,219691,181873,14877,6,N,107578,20230320092501
600519,20230320092500800,1751.0,85,148835.0,199870,181873,14878,6,N,107579,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,182275,14879,6,N,107580,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,190470,14880,6,N,107581,20230320092501
600519,20230320092500800,1751.0,200,350200.0,199870,191596,14881,6,N,107582,20230320092501
600519,20230320092500800,1751.0,100,175100.0,199870,191863,14882,6,N,107583,20230320092501
600519,20230320092500800,1751.0,400,700400.0,199870,200469,14883,6,N,107584,20230320092501
