TradingTime,SecurityID,CommissionOrderNo,CommissionPx,COmmissionAmount,TradeMark,OrderCategory,CommissionNo,ChannelNo,SerialNo
2023-03-20 09:19:15,600519.0,157184.0,1750.0,100.0,S,A,92222.0,6.0,106928.0
2023-03-20 09:19:16,600519.0,146661.0,1745.0,100.0,B,D,92226.0,6.0,106932.0
2023-03-20 09:19:17,600519.0,157362.0,1666.0,900.0,B,A,92228.0,6.0,106934.0
2023-03-20 09:19:19,600519.0,157615.0,1750.0,100.0,S,A,92229.0,6.0,106935.0
2023-03-20 09:19:20,600519.0,157682.0,1758.89,100.0,S,A,92231.0,6.0,106937.0
2023-03-20 09:19:22,600519.0,157362.0,1666.0,900.0,B,D,92232.0,6.0,106938.0
2023-03-20 09:19:23,600519.0,15547.0,1766.98,300.0,S,D,92235.0,6.0,106941.0
2023-03-20 09:19:24,600519.0,158099.0,1800.5,300.0,S,A,92238.0,6.0,106944.0
2023-03-20 09:19:25,600519.0,158224.0,1760.0,100.0,S,A,92239.0,6.0,106945.0
2023-03-20 09:19:27,600519.0,158425.0,1830.0,100.0,S,A,92240.0,6.0,106946.0
2023-03-20 09:19:30,600519.0,158729.0,1785.0,100.0,S,A,92241.0,6.0,106947.0
2023-03-20 09:19:31,600519.0,158852.0,1778.5,100.0,S,A,92243.0,6.0,106949.0
2023-03-20 09:19:32,600519.0,158924.0,1770.5,100.0,S,A,92244.0,6.0,106950.0
2023-03-20 09:19:33,600519.0,159012.0,1800.99,100.0,S,A,92246.0,6.0,106952.0
2023-03-20 09:19:34,600519.0,159066.0,1748.5,400.0,S,A,92247.0,6.0,106953.0
2023-03-20 09:19:35,600519.0,159196.0,1761.0,100.0,S,A,92248.0,6.0,106954.0
2023-03-20 09:19:36,600519.0,159361.0,1758.0,100.0,S,A,92249.0,6.0,106955.0
2023-03-20 09:19:37,600519.0,159383.0,1775.0,100.0,S,A,92250.0,6.0,106956.0
2023-03-20 09:19:38,600519.0,159551.0,1799.99,100.0,S,A,92251.0,6.0,106957.0
2023-03-20 09:19:39,600519.0,159580.0,1742.0,100.0,B,A,92252.0,6.0,106958.0
2023-03-20 09:19:40,600519.0,159728.0,1740.0,100.0,B,A,92255.0,6.0,106961.0
2023-03-20 09:19:44,600519.0,160181.0,1748.0,100.0,S,A,92256.0,6.0,106962.0
2023-03-20 09:19:45,600519.0,160258.0,1775.0,100.0,S,A,92257.0,6.0,106963.0
2023-03-20 09:19:46,600519.0,160332.0,1730.11,100.0,B,A,92258.0,6.0,106964.0
2023-03-20 09:19:47,600519.0,160495.0,1779.0,100.0,S,A,92259.0,6.0,106965.0
2023-03-20 09:19:48,600519.0,160641.0,1763.0,100.0,S,A,92264.0,6.0,106970.0
2023-03-20 09:19:49,600519.0,160738.0,1758.88,100.0,S,A,92267.0,6.0,106973.0
2023-03-20 09:19:50,600519.0,137635.0,1654.9,100.0,S,D,92268.0,6.0,106974.0
2023-03-20 09:19:51,600519.0,160893.0,1798.5,10000.0,S,A,92269.0,6.0,106975.0
2023-03-20 09:19:54,600519.0,161195.0,1710.11,100.0,B,A,92270.0,6.0,106976.0
2023-03-20 09:19:55,600519.0,161285.0,1758.0,100.0,S,A,92271.0,6.0,106977.0
2023-03-20 09:19:57,600519.0,161580.0,1748.5,100.0,B,A,92272.0,6.0,106978.0
2023-03-20 09:19:58,600519.0,161684.0,1759.0,100.0,S,A,92274.0,6.0,106980.0
2023-03-20 09:20:00,600519.0,161933.0,1654.9,100.0,S,A,92275.0,6.0,106981.0
2023-03-20 09:20:01,600519.0,162303.0,1829.09,100.0,B,A,92277.0,6.0,106983.0
2023-03-20 09:20:02,600519.0,162501.0,1794.26,100.0,B,A,92278.0,6.0,106984.0
2023-03-20 09:20:03,600519.0,162733.0,1701.11,100.0,B,A,92280.0,6.0,106986.0
2023-03-20 09:20:04,600519.0,162964.0,1725.0,200.0,B,A,92281.0,6.0,106987.0
2023-03-20 09:20:08,600519.0,163386.0,1780.0,100.0,S,A,92282.0,6.0,106988.0
2023-03-20 09:20:10,600519.0,163635.0,1580.0,100.0,B,A,92283.0,6.0,106989.0
2023-03-20 09:20:16,600519.0,164278.0,1784.88,100.0,S,A,92284.0,6.0,106990.0
2023-03-20 09:20:18,600519.0,164500.0,1748.5,100.0,S,A,92285.0,6.0,106991.0
2023-03-20 09:20:19,600519.0,164609.0,1748.5,100.0,S,A,92286.0,6.0,106992.0
2023-03-20 09:20:22,600519.0,165003.0,1750.0,100.0,B,A,92287.0,6.0,106993.0
2023-03-20 09:20:27,600519.0,165505.0,1900.0,100.0,S,A,92288.0,6.0,106994.0
2023-03-20 09:20:29,600519.0,165790.0,1740.17,100.0,B,A,92289.0,6.0,106995.0
2023-03-20 09:20:31,600519.0,166008.0,1765.0,100.0,S,A,92290.0,6.0,106996.0
2023-03-20 09:20:32,600519.0,166122.0,1770.0,100.0,S,A,92292.0,6.0,106998.0
2023-03-20 09:20:36,600519.0,166475.0,1738.6,100.0,B,A,92293.0,6.0,106999.0
2023-03-20 09:20:37,600519.0,166706.0,1740.0,100.0,B,A,92296.0,6.0,107002.0
2023-03-20 09:20:43,600519.0,167382.0,1860.0,100.0,S,A,92297.0,6.0,107003.0
2023-03-20 09:20:44,600519.0,167538.0,1730.0,300.0,B,A,92302.0,6.0,107008.0
2023-03-20 09:20:45,600519.0,167641.0,1778.0,200.0,S,A,92303.0,6.0,107009.0
2023-03-20 09:20:46,600519.0,167769.0,1829.1,100.0,B,A,92305.0,6.0,107011.0
2023-03-20 09:20:47,600519.0,167890.0,1703.3,100.0,B,A,92307.0,6.0,107013.0
2023-03-20 09:20:48,600519.0,167966.0,1779.0,100.0,S,A,92309.0,6.0,107015.0
2023-03-20 09:20:49,600519.0,168177.0,1654.9,100.0,S,A,92311.0,6.0,107017.0
2023-03-20 09:20:54,600519.0,168756.0,1840.0,100.0,S,A,92312.0,6.0,107018.0
2023-03-20 09:20:57,600519.0,169086.0,1732.0,100.0,B,A,92313.0,6.0,107019.0
